,Main title of the entry,Location the entry occured ,Geotag,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing. Use this for publications","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. ,"This is only for citation purposes, using Chicago Style"
teaching_positions,Social theory 101: Nature and culture (B.A. Sociology),Kassel University,,04/2018,09/2018,,,,,
teaching_positions,What does sustainability mean? (B.A. Sociology),Kassel University,,10/2018,03/2019,,,,,
teaching_positions,"Enjoying theories (in English, M.A. Social Science)",Ruhr-University Bochum,,04/2019,09/2019,,,,,
teaching_positions,Global inequalities and ecology (B.A. Sociology),Kassel University,,04/2019,09/2019,,,,,
teaching_positions,Introduction to Science and Technological Studies (B.A. Social Science),Ruhr-University Bochum,,04/2019,09/2019,,,,,
teaching_positions,"Enjoying theories (in English, M.A. Social Science)",Ruhr-University Bochum,,10/2019,04/2020,,,,,
teaching_positions,"Research reminar: Culture, technology and energy in transformation (M.A. two semesters, Social Science)",Ruhr-University Bochum,,10/2019,09/2020,,,,,
teaching_positions,"Enjoying theories (in English, M.A. Social Science)",Ruhr‐University Bochum,,4/2020,09/2020,,,,,
teaching_positions,Consulting postdoc in the mentoring programme of the Collaborative Research Centre Media of Cooperation ,Siegen University,,6/2021,,,,,,
industry_positions,Freelance Work,,"Jena, Germany",2009,2014,Project-work and team leader: marketing and advertising,Qualitatively and quantitatively designed marketing research,"Pitching of projects, production of reports, presentation of reports.",FALSE,
editorials,"Greeson, Emma/<strong>Laser, Stefan</strong>/Pyyhtinen, Olli (Eds.) (2020): Special Issue: Dis/assembling value. Lessons from waste valuation practices. Valuation Studies 7(2).",,,,2020,,,,FALSE,
editorials,"Schlitz, Nicolas/<strong>Laser, Stefan</strong> (Eds.) (2019): Special Issue: Waste and globalized inequalities, Austrian Journal of Development Studies, 35(2-3).  ",,,,2019,,,,,
editorials,"Kropf, Jonathan/<strong>Laser, Stefan</strong> (Eds.) (2018): Digitale Bewertungspraktiken. Für eine Bewertungssoziologie des Digitalen. Reihe: Soziologie des Wertens und Bewertens [Digital valuation practices. For a sociology of valuation of the digital. Series: Sociology of Values and Valuation]. Wiesbaden: Springer VS.",,,,2018,,,,,
books,"Groth, Karla/<strong>Laser, Stefan</strong>/Sarther, Isabelle/Schirrmacher, Jennifer (2022): Artenübergreifende Fürsorge? Die Corona-Pandemie und das Mensch-Tier-Verhältnis [Interspecies care? The Corona pandemic and the human-animal relation]. Human-Animal Studies. Bielefeld: transcript. ",,,,2022,This is a mapping of controversies of public discussions drawing on qualitative research and digital methods.,The book is the product of a writing collective that has its roots in a Master's class at Ruhr-University Bochum. It is an example of how research and writing can be performed together across hierarchies.,"On request, the manuscript can be shared.",,
books,"<strong>Laser, Stefan</strong> (2020): Hightech am Ende. Über das globale Recycling von Elektroschrott und die Entstehung neuer Werte. Reihe: Soziologie des Wertens und Bewertens [Hightech at the end. On the global recycling of electronic waste and the creation of new values. Series: Sociology of Valuation and Evaluation]. Wiesbaden: Springer VS. ",,,,2020,Website of the book with additional ressources (DE/EN): hightech-am-ende.de/en,Peer review managed through the editors of the book series.,,,
academic_articles,"<strong>Laser, Stefan</strong> (2022): Wert mit Abfall befragen. Eine soziomaterielle Perspektive auf die Erzeugung von Wert mit Einsichten aus ethnographischer Forschung zu Elektroschrott [Enquiring value through waste. A sociomaterial perspective on the creation of value with insights from ethnographic research on electronic waste]. Zeitschrift für Soziologie 51(2): 1-18.",,,,2022,,,,,
academic_articles,"<strong>Laser, Stefan</strong> (2022): Verausgabung auf „Strava“ und mit „Powermeter“: über technologisch vermittelte Selbstbewertung beim Radsport und eine energiesoziologische Perspektive [Expenditure on ""Strava"" and with ""Powermeter"": On technologically mediated self-evaluation in cycling and an energetic perspective in Sociology]. Österreichische Zeitschrift für Soziologie 47(4): accepted (in press).",,,,2022,,,,,
academic_articles,"<strong>Laser, Stefan</strong>/Sørensen, Estrid (2021): Re‐imagining river restoration. Temporalities, landscapes and values of the Emscher set in a post‐mining environment. Berliner Blätter 84 (2): 65‐85. Open access.",,,,2021,,,,TRUE,
academic_articles,"<strong>Laser, Stefan</strong>/Alison Stowell (2020): Thinking like Apple’s recycling robots: Towards the activation of responsibility in a postenvironmentalist world. Ephemera 20(3), 163–194. Open access.",,,,2020,,,,,
academic_articles,"<strong>Laser, Stefan</strong> (2020): Sorting, shredding and smelting scrap: The production of value by deformation at a high‐tech recycler of electronic waste. Valuation Studies 7(2): 221‐255. Open access.",,,,2020,,,,,
academic_articles,"Greeson, Emma/<strong>Laser, Stefan</strong>/Pyyhtinen, Olli (2020): Introduction: Dis/assembling value. Lessons from waste valuation practices. Valuation Studies 7(2): 151‐166. Open access.",,,,2020,,,,,
academic_articles,"Schlitz, Nicolas/<strong>Laser, Stefan</strong> (2019): Facing frictions: Waste and globalized inequalities. Austrian Journal of Development Studies: 35(2‐3): 5‐32. Open access.",,,,2019,,,,,
academic_articles,"Lamla, Jörn/<strong>Laser, Stefan</strong> (2016): Nachhaltiger Konsum im transnationalen Wertschöpfungskollektiv. Versammlungsdynamiken in der Politischen Ökonomie des Elektroschrotts [Sustainable consumption in the transnational value chain collective. Assembly dynamics in the political economy of e‐waste]. Berliner Journal of Sociology 26(2), 249‐271.",,,,2016,,,,,
academic_articles,"<strong>Laser, Stefan</strong> (2016): Why is it so hard to engage with practices of the informal sector? Experimental insights from the Indian e‐waste‐collective, Cultural Studies Review 22(1), 168‐195. Open access.",,,,2016,,,,,
chapters,"<strong>Laser, Stefan</strong> (2022): Verschwendung handhaben. Über Energie, Ressourceneinsatz und infrastrukturelles Erfahrungswissen in der Recycling- und Schienenindustrie [Handling excess. About energy, resource use and infrastructural experience in the recycling and rail industry]. In: Barth, Thomas/Jaeger-Erben, Melanie/Jochum, Georg/Lorenz, Stephan (Eds.): Nachhaltig(e) Werte schaffen? Arbeit und Technik in der sozial-ökologischen Transformation [Creating sustainable values? Labour and technology in the socio-ecological transformation]. Weinheim: Beltz/Juventa: in press.",,,,2022,,,,,"<strong>Laser, Stefan</strong>: Who carries the weight of digital technologies? What is its weight anyway? Review-Essay of „Reassembling Rubbish: Worlding Electronic Waste“, by Josh Lepawsky (MIT Press), Journal für Entwicklungspolitik (JEP)‘, 35(2-3): 217-227."
chapters,"<strong>Laser, Stefan</strong> (2021): Mit modularen Smartphones Müll vermeiden, und andere Missverständnisse. Über die Intervention in eine produktorientierte Bewegung und die methodologischen Früchte des Scheiterns [Avoiding waste with modular smartphones, and other misunderstandings. On intervening in a product-oriented movement and the methodological fruits of failure]. In: Herberg, Jeremias/Stämmler, Johannes (Eds.), Wissenschaft im Strukturwandel [Science in Transformation]. München: Oekom, 337–358.",,,,2021,,,,,
chapters,"<strong>Laser, Stefan</strong>/Nicolas Schlitz (2021): Abfall in und jenseits von Güterketten: Ungleichheiten und unterschätzte Materialien [Waste in and Beyond Value Chains: Inequalities and Underestimated Materials]. In: Globale Warenketten und ungleiche Entwicklung: Arbeit, Kapital, Konsum, Natur [Global Value Chains and Uneven Development: Labour, Capital, Consumption, Nature], edited by Fischer, Karin/Reiner, Christian/Staritz,Cornelia, 284–88. Wien: Mandelbaum Verlag.",,,,2021,,,,,
chapters,"<strong>Laser, Stefan</strong>/Alison Stowell (2020): Apple’s recycling robot „Liam“ and the global recycling economy of e‐waste. What 'The Guardian' does, and what he misses out on. In: Johansson, Nils/Ek, Richard (Eds.), Perspectives on waste from the social sciences and humanities: Opening the bin. Cambridge: Cambride Scholars, 265–279.",,,,2018,,,,,
chapters,"Kropf, Jonathan/<strong>Laser, Stefan</strong> (2018): Eine Bewertungssoziologie des Digitalen [A sociology of valuation of the digital] In: Kropf, Jonathan/<strong>Laser, Stefan</strong> (Eds.), Digitale Bewertungspraktiken. Für eine Bewertungssoziologie des Digitalen [Digital valuation practices. Towards a sociology of valuation of the digital]. Wiesbaden: Springer VS, 1‐16.",,,,2018,,,,,
chapters,"Kropf, Jonathan/<strong>Laser, Stefan</strong> (2018): Für eine reflexive Vergleichspraxis in der Bewertungssoziologie. Pinterest und WhatsApp als Beispiel [Towards Reflexive Comparisons in the Sociology of Valuation] . In: Kropf, Jonathan/<strong>Laser, Stefan</strong> (Eds.), Digitale Bewertungspraktiken. Für eine Bewertungssoziologie des Digitalen. Wiesbaden [Digital Valuation Practices. Towards a Sociology of Valuation of the Digital]: Springer VS, 19‐40.",,,,2018,,,,,
chapters,"<strong>Laser, Stefan</strong>/Ochs, Carsten (2018): Kontroversen bewertbar machen. Über die Methode des „Mapping of Controversies“ [Making controversies assessable. About the ""Mapping of Controversies"" approach]. In: Kropf, Jonathan/<strong>Laser, Stefan</strong> (Eds.), Digitale Bewertungspraktiken. Für eine Bewertungssoziologie des Digitalen [Digital valuation practices. Towards a sociology of valuation of the digital]. Wiesbaden: Springer VS, 97‐125.",,,,2018,,,,,
chapters,"<strong>Laser, Stefan</strong> (2018): Elektroschrott und die Abwertung von Reparaturpraktiken: Eine soziologische Erkundung des Recyclings von Elektronikgeräten in Indien und Deutschland [E-waste and the devaluation of repair practices: A sociological exploration of electronic equipment recycling in India and Germany], in: Stefan Krebs, Gabriele Schabacher, Heike Weber (Eds.): Kulturen des Reparierens [Cultures of repairing], transcript, 85‐103. Open access.",,,,2018,,,,,
chapters,"Lamla, Jörn/<strong>Laser, Stefan</strong> (2018): Verbraucherschutz [Consumer protection]. In: Backhaus‐Maul H., Kunze M., Nährlich S. (Eds.): Gesellschaftliche Verantwortung von Unternehmen in Deutschland [Social responsability of companies in Germany]. Wiesbaden: Springer VS, 285‐299.",,,,2018,,,,,
chapters,"<strong>Laser, Stefan</strong> (2016): A phone worth keeping for the next 6 billion? Exploring the creation of a modular smartphone made by Google, in: Christiane Lewe, Tim Orthold, Nicolas Oxen (Eds.): Waste. Interdisciplinary Perspectives on the Leftover. Bielefeld: transcript, 201‐226.",,,,2016,,,,,
chapters,"<strong>Laser, Stefan</strong>/Lamla, Jörn (2015): Demokratischer Experimentalismus in transnationalen Wertschöpfungskollektiven. Über einige Herausforderungen des ethischen Konsums und den Fall Elektroschrott [Democratic experimentalism in transnational value collectives. On some challenges of ethical consumption and the case of e-waste], in: Stephan Lessenich (Eds.): Routinen der Krise – Krise der Routinen. Verhandlungen des 37. Kongresses der Deutschen Gesellschaft für Soziologie in Trier 2014 [Routines of crisis – crisis of routines. Proceedings of the 37th Congress of the German Sociological Association in Trier 2014].",,,,2015,,,,,
other_texts,"<strong>Laser, Stefan</strong>/Rienow, Andreas/Dedring, Torben (2021): ""Ruhr Valley and Delhi. Megacity Air Pollution in Germany and India"", Disaster STS Network, Platform for Experimental Collaborative Ethnography, last modified 10 December 2021. <https://disaster-sts-network.org/content/ruhr-valley-and-delhi-megacity-air-pollution-germany-and-india>",,,,2021,This is a the product of a digital workshop on global environmental injustices.,"We use the research platform of ""Disaster STS"" to present preliminary research from interdisciplinary research on air pollution in Germany and India during the Coronacrisis. Methods and data from controversy analysis meet geoinformatics. ",,,
other_texts,"<strong>Laser, Stefan</strong> (facilitator)/Chen,Xinyue/Lompe, Maria/Ozkula, Suay Melisa/Sørensen, Estrid/Teigeler, Lena /Vespa, Mariangela/Zhao, Tianshi. (2021): Greenwashing, in_authenticity and protest: Following the dynamics and relations of an ambiguous term on Twitter and the Web, Designers: Matteo Bettini, Valentina Pallacci, Fabiola Papini, Marìa Paula Vargas Triana, Digital Methods Initiative Wiki. <https://wiki.digitalmethods.net/Dmi/DmiSummerSchoolGreenwashing> ",,,,2021,The entry presents the results from the 2021 Digital Methods Initiative Summer School.,,,,
other_texts,"Lippert, Ingmar, Julie S. Mewes, Paula Helm, Stefan Laser, Estrid Sørensen, and Laura Kocksch. 2021. “Stsing: Doing STS In, Through and Beyond the German Academic System.” SocArXiv. doi:10.31235/osf.io/8pu5c.",,,,2021,,,,,
other_texts,"<strong>Laser, Stefan</strong> (2021): Datensparsamkeit: Die Materialien von Zoom, Cloud und Co mitdenken [Data minimisation: Thinking with the materials of Zoom, Cloud and Co.], Artist Project ""Hot Spot Society"", <https://hotspotsociety.com/stefan-laser/>",,,,2021,,,,,
other_texts,"<strong>Laser, Stefan</strong> (2021): Review‐Essay: Building bridges: About the reflection work and consequences of STS method practices in three current publications. Science and Technology Studies 34(2): 138–143.",,,,2021,,,,,
other_texts,"Frisch, Thomas/<strong>Laser, Stefan</strong>/Matthäus, Sandra/Schendzielorz, Cornelia (2021): It’s worth the trouble. On valuation studies and climate change. economic sociology_the european electronic newsletter 22(1): 10‐14.",,,,2021,,,,,"<strong>Laser, Stefan</strong>: Who carries the weight of digital technologies? What is its weight anyway? Review-Essay of „Reassembling Rubbish: Worlding Electronic Waste“, by Josh Lepawsky (MIT Press), Journal für Entwicklungspolitik (JEP)‘, 35(2-3): 217-227."
other_texts,"<strong>Laser, Stefan</strong>: Who carries the weight of digital technologies? What is its weight anyway? Review‐ Essay of „Reassembling Rubbish: Worlding Electronic Waste“, by Josh Lepawsky (MIT Press), Austrian Journal of Development Studies 35(2‐3): 217‐227.",,,,2019,,,,,
other_texts,"<strong>Laser, Stefan</strong>/Eitel, Kathrin/Schlitz, Nicolas: Discard Studies: Doing Science Differently, Interview with Max Liboiron, Austrian Journal of Development Studies 35(2‐3): 167‐196. Open access.",,,,2019,,,,,
other_texts,"Bogusz, Tanja/Büchner, Stefanie/Dányi, Endre/Klein, Anja/<strong>Laser, Stefan</strong>/Schlünder, Martina/Sørensen, Estrid. Workshop report: #stsing – but how? An open workshop on possible organisation forms of STS‐in‐Germany.",,,,2019,,,,,
other_texts,"Hanika, Tom/Kibanov, Mark/Kropf, Jonathan/<strong>Laser, Stefan</strong> (2018): ‘Ich denke, es ist wichtig zu verstehen, warum die Netzwerkanalyse jetzt populär und besonders interessant für die Forschung geworden ist.’ Im Gespräch mit einem Mathematiker und einem Informatiker [‘I think it is important to understand why network analysis has become popular and particularly interesting for research now.’ In conversation with a mathematician and a computer scientist]. In: Kropf, Jonathan/<strong>Laser, Stefan</strong> (Eds.), Digitale Bewertungspraktiken. Für eine Bewertungssoziologie des Digitalen. [Digital valuation practices. Towards a sociology of valuation of the digital] Wiesbaden: Springer VS, 165‐188.",,,,2018,,,,,
academic_talks,"Kropf, Jonathan/<strong>Laser, Stefan</strong>/Ochs, Carsten: ""Shaping platforms and reflecting value conflicts in socio-digital valuation infrastructures"", workshop organized, Kassel, 19./20.05.2022.",,,,2022,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: ""Climate on and off the railways. The railway in the ecological transformation"", paper presented during the workshop ""Organisation and Valuation of Sustainability"", Hamburg, 5.11.2021",,,,2021,,,,,
academic_talks,"Mewes, Julie Sascia/Kocksch, Laura/Sorensen, Estrid/Carmona, Susana C/<strong>Laser, Stefan</strong>/Galanova, Olga/Asai, Ryoko/Delgado, Abigail Nieves: Coding the RUSTlab. Discussing, writing and living an STS lab, Conference: 4S Annual Meeting 2021, Toronto, October 2021.",,,,2021,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: ""Waste: On the question of value"", paper presented during the workshop ""The ecological question"", organized by the section of Social Theory of the German Society of Sociology, Frankfurt am Main, 05.06.2020",,,,2021,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Cycling on and through digital platforms, or: What happens when data centres shape the mobility of athletes?“, paper presented, 5th Energy and Society conference, Trento, 11.02.2021.",,,,2021,,,,,
academic_talks,"Kocksch, Laura/<strong>Laser, Stefan</strong>/Pittroff, Fabian/Roschka, Jakob/Sørensen, Estrid: “Inquiring the digital interstice through a data sprint: Ethnographic research where front and back end meet“, workshop organized, conference “New Materialist Informatics“, Kassel, 22.03.2021.",,,,2021,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Charging the bin: Bringing energy in“, paper presented, conference “Re‐Opening the Bin“, Gothenburg, Sweden, 11.06.2021.",,,,2021,"In addition to the paper, the conference was supported as session chair and commentator.",,,,
academic_talks,"Kocksch, Laura/<strong>Laser, Stefan</strong>/Sørensen, Estrid: “Decentring datacentres: their politics, energy, waste and epistemics“, panel organized during the EASST/4S conference: Locating and Timing Matters, Prague, Czech Republic,19.08.2020.",,,,2020,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Restoring a broken landscape? A ‘pioneering model’ from rhe Ruhr Valley, a former coal mining hub“, paper presented during the EASST/4S conference, Prague, Czech Republic, 20.08.2020.",,,,2020,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “On high‐tech recycling. Some lessons from a global ethnography of electronic waste“, paper presented at the Centre for Science Studies, Department of Sociology, Lancaster University, Lancaster, UK, 27.03.2019.",,,,2019,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Waste and globalised inequalities. The case of e‐waste“, paper presented at the Sustainability Research Network, Lancaster University, Lancaster, UK, 26.03.2019.",,,,2019,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Modular smartphones. Assessing a recent hype“, paper presented, EASST conference, Lancaster, UK, 27.07.2018.",,,,2018,,,,,
academic_talks,"<strong>Laser, Stefan</strong>/Stowell, Alison: “Apple’s recycling robot „Liam“ and the global recycling economy of e‐waste“, with Alison Stowell, paper presented, conference “Opening the Bin“ Helsingborg, Lund, Schweden. 29.04.2017.",,,,2017,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Processing eectronic waste, re‐evaluating limits. Ethnographic insights from a high‐tech recycling company“, paper presented during the 4S/EASST conference “Science and technology by other means“, Barcelona, Spain, 01.09.2016.",,,,2016,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Evaluating electronic waste on a daily basis. Ethnographic insights from a large‐scale waste recycler and processor“, paper presented, conference “Ethnography and qualitative research“, Bergamo, 09.06.2016.",,,,2016,,,,,
academic_talks,"<strong>Laser, Stefan</strong>/Ochs, Carsten: Comment on Tommaso Venturini's Keynote: “Four misunderstandings about digital methods“, lecture at the 4th Workshop of the dgv‐Commission “Digitisation in everyday life“ on the theme “Digital Practices“, Frankfurt am Main, 20.02.2015.",,,,2015,,,,,
academic_talks,"<strong>Laser, Stefan</strong>: “Who Benefits from Sustainability? Analysing the Indian Politics of Electronic Waste in a Transnational Setting“, paper presented, ASNEL/GNEL and GASt conference “Postcolonial Justice“, Potsdam and Berlin, 30.05.2014.",,,,2014,,,,,
